,lon,lat,depth,M0,strike,dip,rake,epi_time,slip,slip_velocity,stress
0,140.1916137333956,34.887487323872605,-12.434543456482514,1.2025e+19,290.0,25.0,143.0,35.654203429921445,250.0,49.0,2.497245179063361
1,140.05698670650918,34.92756314038768,-12.434543456482514,3.7999e+18,290.0,25.0,143.0,31.457201966410736,79.0,32.0,1.6308539944903582
2,139.92235967962276,34.96763895690275,-12.434543456482514,3.6075e+18,290.0,25.0,143.0,27.3028285063003,75.0,21.0,1.0702479338842974
3,139.78773265273634,35.00771477341783,-12.434543456482514,1.30351e+19,290.0,25.0,143.0,23.213980461973534,271.0,62.0,3.159779614325069
4,139.65310562584992,35.0477905899329,-12.434543456482514,9.7162e+18,290.0,25.0,143.0,19.232495649002207,202.0,40.0,2.038567493112948
5,139.5184785989635,35.08786640644798,-12.434543456482514,9.2833e+18,290.0,25.0,143.0,15.441646429200626,193.0,43.0,2.1914600550964187
6,139.38385157207705,35.12794222296306,-12.434543456482514,1.01972e+19,290.0,25.0,143.0,12.023125864580955,212.0,102.0,5.198347107438017
7,139.24922454519063,35.16801803947813,-12.434543456482514,3.9442e+18,290.0,25.0,143.0,9.392668535736915,82.0,36.0,1.8347107438016528
8,139.1145975183042,35.208093855993205,-12.434543456482514,6.8302e+18,290.0,25.0,143.0,8.333333333333332,142.0,52.0,2.650137741046832
9,138.9799704914178,35.248169672508276,-12.434543456482514,1.0582e+18,290.0,25.0,143.0,9.392668535736913,22.0,11.0,0.5606060606060607
10,140.22577472607392,34.964249781475324,-16.660726073889506,1.00529e+19,290.0,25.0,143.0,35.025387617809145,209.0,67.0,3.4146005509641877
11,140.0911476991875,35.0043255979904,-16.660726073889506,1.7316e+18,290.0,25.0,143.0,30.74265946711688,36.0,18.0,0.9173553719008264
12,139.95652067230108,35.04440141450547,-16.660726073889506,5.0986e+18,290.0,25.0,143.0,26.476404589747457,106.0,24.0,1.2231404958677685
13,139.82189364541463,35.08447723102055,-16.660726073889506,3.54978e+19,290.0,25.0,143.0,22.23610677354389,738.0,164.0,8.358126721763085
14,139.6872666185282,35.12455304753562,-16.660726073889506,3.25637e+19,290.0,25.0,143.0,18.040078836979745,677.0,133.0,6.778236914600551
15,139.5526395916418,35.1646288640507,-16.660726073889506,3.09283e+19,290.0,25.0,143.0,13.92838827718412,643.0,113.0,5.758953168044077
16,139.41801256475537,35.20470468056577,-16.660726073889506,1.60173e+19,290.0,25.0,143.0,10.005554013202422,333.0,64.0,3.2617079889807163
17,139.28338553786895,35.244780497080846,-16.660726073889506,9.3314e+18,290.0,25.0,143.0,6.616477747093069,194.0,51.0,2.5991735537190084
18,139.14875851098253,35.284856313595924,-16.660726073889506,7.8884e+18,290.0,25.0,143.0,4.999999999999998,164.0,53.0,2.701101928374656
19,139.01413148409608,35.324932130110994,-16.660726073889506,2.8379e+18,290.0,25.0,143.0,6.616477747093069,59.0,29.0,1.4779614325068873
20,140.25993571875225,35.04101223907804,-20.886908691296505,2.405e+17,290.0,25.0,143.0,34.70670764500078,5.0,3.0,0.15289256198347106
